time_ms,value
2168,180
2268,179
2368,180
2468,180
2568,181
2668,180
2768,180
2868,179
2968,180
3068,179
3168,180
3268,179
3368,180
3468,180
3568,179
3668,180
3768,180
3868,180
3968,180
4068,180
4168,180
4268,180
4368,179
4468,180
4568,180
4668,179
4768,180
4868,179
4968,180
5068,180
5168,179
5268,180
5368,180
5468,180
5568,180
5668,180
5768,180
5868,180
5968,180
6068,180
6168,180
6268,180
6368,180
6468,180
6568,179
6668,179
6768,180
6868,180
6968,180
7068,179
7168,180
7268,180
7368,180
7468,179
7568,179
7668,179
7768,180
7868,180
7968,179
8068,179
8168,179
8268,180
8368,180
8468,179
8568,180
8668,180
8768,179
8868,180
8968,180
9068,180
9168,180
9268,180
9368,179
9468,180
9568,179
9668,180
9768,180
9868,180
9968,180
10068,180
10168,180
10268,180
10368,180
10468,180
10568,180
10668,180
10768,180
10868,180
10968,180
11068,180
11168,180
11268,180
11368,179
11468,180
11568,180
11668,180
11768,180
11868,179
11968,180
12068,180
12168,180
12268,180
12368,180
12468,180
12568,180
12668,179
12768,180
12868,180
12968,180
13068,180
13168,180
13268,180
13368,180
13468,180
13568,180
13668,180
13768,179
13868,180
13968,180
14068,180
14168,180
14268,180
14368,180
14468,180
14568,181
14668,181
14768,180
14868,180
14968,180
15068,180
15168,180
15268,180
15368,179
15468,180
15568,180
15668,180
15768,180
15868,180
15968,180
16068,180
16168,180
16268,180
16368,180
16468,179
16568,180
16668,180
16768,179
16868,180
16968,179
17068,180
17168,180
17268,180
17368,180
17468,179
17568,180
17668,180
17768,180
17868,180
17968,180
18068,180
18168,180
18268,180
18368,179
18468,180
18568,180
18668,180
18768,179
18868,180
18968,180
19068,180
19168,180
19268,180
19368,180
19468,179
19568,180
19668,180
19768,180
19868,180
19968,180
20068,180
20168,180
20268,180
20368,180
20468,180
20568,180
20668,180
20768,180
20868,180
20968,180
21068,180
21168,180
21268,181
21368,180
21468,180
21568,180
21668,180
21768,179
21868,180
21968,180
22068,180
22168,180
22268,180
22368,180
22468,179
22568,179
22668,180
22768,180
22868,180
22968,180
23068,180
23168,181
23268,180
23368,180
23468,180
23568,180
23668,180
23768,180
23868,180
23968,180
24068,180
24168,180
24268,180
24368,180
24468,180
